uid,local_model_dir,commit,commit_date,eval_date,params,accuracy,evaluate,pareto,reward,vali_evaluated,hf_account,flops,score
135,/root/mainnet/NASChain/cache/models--summertime0--nashk5/snapshots/431f78a901a7a46f44273a6d5fecd6caabff85ff/model.pt,431f78a901a7a46f44273a6d5fecd6caabff85ff,2024-07-25 00:38:30+00:00,2024-07-28 02:16:13,152000.0,90.0,True,False,False,True,summertime0/nashk5,98.0,0.0
144,cache/models--papagruz1--naschain/snapshots/3d93a567f8dba268580b29b0111d1c92f796949f/model.pt,3d93a567f8dba268580b29b0111d1c92f796949f,2024-07-15 16:23:58+00:00,2024-07-15 23:05:06,16000.0,81.0,True,False,False,False,papagruz1/naschain,17.0,0.0
165,cache/models--NeuralNexusII--naschain/snapshots/d74d7e7f98e14e170ed5a79707b2d12da911880a/model.pt,d74d7e7f98e14e170ed5a79707b2d12da911880a,2024-07-15 21:29:24+00:00,2024-07-15 23:06:14,16000.0,82.0,True,False,False,True,NeuralNexusII/naschain,12.0,0.0
166,cache/models--papagruz3--naschain/snapshots/accdf1f5d047d571605ec531daca5e311b428eb7/model.pt,accdf1f5d047d571605ec531daca5e311b428eb7,2024-07-15 09:00:03+00:00,2024-07-15 23:06:17,14000.0,82.0,True,False,False,True,papagruz3/naschain,13.0,0.0
180,cache/models--kamatoro--naschain/snapshots/ff44a356df057c0a3ececf8197a52e5758834c0a/model.pt,ff44a356df057c0a3ececf8197a52e5758834c0a,2024-06-29 05:46:05+00:00,2024-07-15 23:06:41,142000.0,82.0,True,False,False,False,kamatoro/naschain,117.0,0.0
249,/root/mainnet/NASChain/cache/models--NASJesus--naschain2/snapshots/917787af028063bd361d6053d6fbcc3bc7304e4f/model.pt,917787af028063bd361d6053d6fbcc3bc7304e4f,2024-07-28 04:59:53+00:00,2024-07-28 08:11:13,16000.0,83.0,True,True,True,True,NASJesus/naschain2,12.0,0.02269686364344345
1,cache/models--papagruz8--naschain/snapshots/767f466348078037083b8f865c79c290d5c370f6/model.pt,767f466348078037083b8f865c79c290d5c370f6,2024-07-15 09:09:45+00:00,2024-07-16 09:40:49,56000.0,88.0,True,False,False,True,papagruz8/naschain,53.0,0.0
69,/root/mainnet/NASChain/cache/models--beckham20031992--naschainv69/snapshots/efbd3ee428dcf616c4270bc934153b244f19e0de/model.pt,efbd3ee428dcf616c4270bc934153b244f19e0de,2024-07-27 04:21:09+00:00,2024-07-28 02:13:40,1001000.0,0.0,True,False,False,True,beckham20031992/naschainv69,843.0,0.0
162,/root/NASChain/cache/models--ktmracing03--naschain/snapshots/baf45ab793a4569f400fb1cce704b70842f747fd/model.pt,baf45ab793a4569f400fb1cce704b70842f747fd,2024-08-07 20:28:15+00:00,2024-08-07 20:30:45,63000.0,88.0,True,False,False,True,ktmracing03/naschain,26.0,0.0
172,cache/models--papagruz10--naschain/snapshots/6e7f03f86104e46959e655e9430eb5118d8576a3/model.pt,6e7f03f86104e46959e655e9430eb5118d8576a3,2024-07-15 09:15:35+00:00,2024-07-17 17:42:27,1084000.0,93.0,True,False,False,True,papagruz10/naschain,591.0,0.0
